player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Amit Hooda,7,1.0,Jaipur Pink Panthers,212,11,6.0,"Defender, right corner",2.0,0.0,2.0,4.0,26.0,0.0,0.0,3.0,2.64,29.0,-0.361115610242114,1.420491659329241,-0.6200142576264694,-0.3856717577162949,-0.2531171789671512,1.73498742826457,-0.3118428343415906,-0.5029957698887288,1.3075348331064864,2.287133821541205,0.35260343712131337
Amit Kharb,6,0.0,Gujarat Fortunegiants,793,6,7.0,"Defender, right cover",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,-0.4467938839310181,-0.6234396003780424
Amit Kumar,7,2.0,Patna Pirates,2507,3,1.0,All Rounder,1.0,0.33,3.0,2.0,8.0,0.0,1.0,1.0,1.11,5.0,-0.16471028553489228,0.48667279458758345,-0.4444636436435254,-0.3472266299692592,-0.34841428419581966,0.08025593654714155,-0.3118428343415906,0.4821462042974862,-0.050289801273326475,0.47635053609856387,-0.514990373989225
Amit Kumar Tomar,2,1.0,Dabang Delhi K.C.,267,9,8.0,Raider,0.0,0.67,6.0,3.0,2.0,0.0,0.0,0.0,0.22,8.0,-0.361115610242114,-0.44714607015407415,-0.2635933140853407,-0.231891246728152,-0.30076573158148545,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.5769809175249335,-0.4065411476004077
Amit Nagar,6,4.0,Bengal Warriors,371,9,8.0,Raider,0.0,1.88,15.0,13.0,6.0,0.0,0.0,0.0,0.67,21.0,0.22810036387955115,-0.44714607015407415,0.3800922705187872,0.11411490299516955,0.175719794561857,-0.10360311808812828,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.044397598277097765,0.06340550008446723
Amit Om Prakash Rathi,4,3.0,Bengaluru Bulls,231,2,8.0,Raider,0.0,2.0,4.0,3.0,4.0,0.0,1.0,2.0,0.75,4.0,0.03169503917232944,-0.44714607015407415,0.443928857421676,-0.30878150222222345,-0.30076573158148545,-0.28746217272339813,-0.3118428343415906,0.4821462042974862,0.6286225159165799,0.0502838807002952,-0.5511401161188308
Amit Sheoran,7,0.0,Bengaluru Bulls,794,16,9.0,Defender,2.0,0.0,0.0,0.0,31.0,0.0,0.0,3.0,2.06,33.0,-0.5575209349493357,1.420491659329241,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,2.194635064852745,-0.3118428343415906,-0.5029957698887288,1.3075348331064864,1.6006930989551058,0.49720240563973644
Amit Singh Chhillar,4,0.0,Bengal Warriors,28,9,3.0,"Defender, left corner",1.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,1.44,13.0,-0.5575209349493357,0.48667279458758345,-0.6200142576264694,-0.42411688546333065,-0.3960628368101539,0.5399035731353161,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.8669116368803098,-0.2257924369523789
Anand,7,3.0,Tamil Thalaivas,2325,4,8.0,Raider,0.0,1.5,6.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,0.03169503917232944,-0.44714607015407415,0.17794307865963963,-0.231891246728152,-0.30076573158148545,-0.6551802819939377,-0.3118428343415906,0.4821462042974862,-0.7292021184632329,-0.8373549847127643,-0.4788406318596193
Anand Patil,6,5.0,Jaipur Pink Panthers,576,7,8.0,Raider,0.0,1.86,13.0,9.0,0.0,0.0,1.0,0.0,0.0,13.0,0.4245056885867729,-0.44714607015407415,0.36945283936830586,0.037224647501098086,-0.014874415895479977,-0.6551802819939377,-0.3118428343415906,0.4821462042974862,-0.7292021184632329,-0.8373549847127643,-0.2257924369523789
Anand Surendra Tomar,6,2.0,Haryana Steelers,644,5,8.0,Raider,0.0,1.6,8.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,-0.16471028553489228,-0.44714607015407415,0.23114023441204695,-0.15500099123408054,-0.11017152112414846,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.37039140547080196
Anand V,6,3.0,Bengaluru Bulls,2021,3,8.0,Raider,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03169503917232944,-0.44714607015407415,-0.08804270010239672,-0.3472266299692592,-0.30076573158148545,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.5872898582484366
Anil Kashinath Patil,3,6.0,Jaipur Pink Panthers,285,5,1.0,All Rounder,0.0,1.6,8.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6209110132939946,-0.44714607015407415,0.23114023441204695,-0.15500099123408054,-0.1578200737384827,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.4065411476004077
Anil Kumar,7,1.0,Dabang Delhi K.C.,311,10,4.0,"Defender, left cover",1.0,0.17,1.0,1.0,11.0,0.0,0.0,1.0,1.1,11.0,-0.361115610242114,0.48667279458758345,-0.529579092847377,-0.42411688546333065,-0.3960628368101539,0.3560445185000463,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.4645153512263897,-0.29809192121159045
Anil Shriram Nimbolkar,3,4.0,Dabang Delhi K.C.,277,6,8.0,Raider,0.0,2.5,15.0,9.0,2.0,1.0,1.0,2.0,0.67,19.0,0.22810036387955115,-0.44714607015407415,0.7099146361837123,0.11411490299516955,-0.014874415895479977,-0.47132122735866794,0.47400110819921776,0.4821462042974862,0.6286225159165799,-0.044397598277097765,-0.008893984174744308
Anil Singh,2,0.0,Puneri Paltan,247,2,6.0,"Defender, right corner",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6957390846372539
Ankit,7,0.0,Bengaluru Bulls,2471,5,9.0,Defender,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.379391700041033,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.3461635025046484,-0.514990373989225
Ankit Beniwal,7,0.0,Telugu Titans,2322,4,8.0,Raider,0.0,1.5,6.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,-0.5575209349493357,-0.44714607015407415,0.17794307865963963,-0.231891246728152,-0.2531171789671512,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.4426908897300135
